Epoch 71/500, Train miss rmse:0.2027, obse rmse:0.1347, porosity:0.0487 G loss:8.7112, d loss:0.0140, g loss:3.8460, g loss temp:1.3227, MSE loss:0.0252
Epoch 72/500, Train miss rmse:0.2049, obse rmse:0.1326, porosity:0.0314 G loss:7.0483, d loss:0.0168, g loss:3.9105, g loss temp:1.4847, MSE loss:0.0243
Epoch 73/500, Train miss rmse:0.2052, obse rmse:0.1310, porosity:0.0208 G loss:6.2915, d loss:0.0168, g loss:4.2074, g loss temp:1.7261, MSE loss:0.0248
Epoch 74/500, Train miss rmse:0.2077, obse rmse:0.1271, porosity:0.0271 G loss:6.8873, d loss:0.0140, g loss:4.1744, g loss temp:1.7774, MSE loss:0.0240
Epoch 75/500, Train miss rmse:0.2089, obse rmse:0.1272, porosity:0.0135 G loss:5.4517, d loss:0.0140, g loss:4.1027, g loss temp:1.8484, MSE loss:0.0225
Epoch 76/500, Train miss rmse:0.1947, obse rmse:0.1356, porosity:0.0113 G loss:4.8498, d loss:0.0159, g loss:3.7201, g loss temp:1.1204, MSE loss:0.0260
Epoch 77/500, Train miss rmse:0.2044, obse rmse:0.1277, porosity:0.0261 G loss:6.6364, d loss:0.0137, g loss:4.0251, g loss temp:1.6018, MSE loss:0.0242
Epoch 78/500, Train miss rmse:0.2070, obse rmse:0.1259, porosity:0.0218 G loss:6.3053, d loss:0.0174, g loss:4.1292, g loss temp:2.0312, MSE loss:0.0210
Epoch 79/500, Train miss rmse:0.1945, obse rmse:0.1333, porosity:0.0311 G loss:6.8818, d loss:0.0157, g loss:3.7754, g loss temp:1.2241, MSE loss:0.0255
Epoch 80/500, Train miss rmse:0.2071, obse rmse:0.1249, porosity:0.0312 G loss:7.2152, d loss:0.0125, g loss:4.0960, g loss temp:1.8633, MSE loss:0.0223
Epoch 81/500, Train miss rmse:0.2071, obse rmse:0.1227, porosity:0.0128 G loss:5.5436, d loss:0.0185, g loss:4.2684, g loss temp:2.1788, MSE loss:0.0209
Epoch 82/500, Train miss rmse:0.2003, obse rmse:0.1282, porosity:0.0165 G loss:5.8158, d loss:0.0093, g loss:4.1624, g loss temp:1.7996, MSE loss:0.0236
Epoch 83/500, Train miss rmse:0.2030, obse rmse:0.1247, porosity:0.0166 G loss:5.3925, d loss:0.0174, g loss:3.7342, g loss temp:1.4794, MSE loss:0.0225
Epoch 84/500, Train miss rmse:0.1959, obse rmse:0.1270, porosity:0.0106 G loss:4.8504, d loss:0.0138, g loss:3.7888, g loss temp:1.3004, MSE loss:0.0249
Epoch 85/500, Train miss rmse:0.1984, obse rmse:0.1295, porosity:0.0132 G loss:5.0260, d loss:0.0162, g loss:3.7071, g loss temp:1.4139, MSE loss:0.0229
Epoch 86/500, Train miss rmse:0.2026, obse rmse:0.1235, porosity:0.0261 G loss:6.5421, d loss:0.0096, g loss:3.9315, g loss temp:1.7519, MSE loss:0.0218
Epoch 87/500, Train miss rmse:0.1868, obse rmse:0.1317, porosity:0.0228 G loss:5.7541, d loss:0.0125, g loss:3.4730, g loss temp:0.9939, MSE loss:0.0248
Epoch 88/500, Train miss rmse:0.1851, obse rmse:0.1301, porosity:0.0073 G loss:3.9019, d loss:0.0096, g loss:3.1719, g loss temp:0.8234, MSE loss:0.0235
Epoch 89/500, Train miss rmse:0.1966, obse rmse:0.1257, porosity:0.0260 G loss:6.5191, d loss:0.0220, g loss:3.9193, g loss temp:1.8291, MSE loss:0.0209
Epoch 90/500, Train miss rmse:0.1968, obse rmse:0.1256, porosity:0.0117 G loss:5.2041, d loss:0.0165, g loss:4.0357, g loss temp:1.7489, MSE loss:0.0229
Epoch 91/500, Train miss rmse:0.2046, obse rmse:0.1173, porosity:0.0316 G loss:7.0272, d loss:0.0106, g loss:3.8671, g loss temp:1.7646, MSE loss:0.0210
Epoch 92/500, Train miss rmse:0.2075, obse rmse:0.1159, porosity:0.0139 G loss:5.4216, d loss:0.0125, g loss:4.0275, g loss temp:2.1498, MSE loss:0.0188
Epoch 93/500, Train miss rmse:0.1909, obse rmse:0.1254, porosity:0.0119 G loss:4.9297, d loss:0.0153, g loss:3.7404, g loss temp:1.4031, MSE loss:0.0234
Epoch 94/500, Train miss rmse:0.2016, obse rmse:0.1191, porosity:0.0131 G loss:5.0003, d loss:0.0107, g loss:3.6897, g loss temp:1.5862, MSE loss:0.0210
Epoch 95/500, Train miss rmse:0.1838, obse rmse:0.1289, porosity:0.0109 G loss:4.6084, d loss:0.0203, g loss:3.5140, g loss temp:1.1346, MSE loss:0.0238
Epoch 96/500, Train miss rmse:0.2080, obse rmse:0.1158, porosity:0.0192 G loss:6.2684, d loss:0.0103, g loss:4.3518, g loss temp:2.5007, MSE loss:0.0185
Epoch 97/500, Train miss rmse:0.1855, obse rmse:0.1279, porosity:0.0085 G loss:4.6159, d loss:0.0252, g loss:3.7656, g loss temp:1.3236, MSE loss:0.0244
Epoch 98/500, Train miss rmse:0.2006, obse rmse:0.1203, porosity:0.0108 G loss:4.8138, d loss:0.0140, g loss:3.7326, g loss temp:1.5375, MSE loss:0.0220
Epoch 99/500, Train miss rmse:0.2038, obse rmse:0.1170, porosity:0.0283 G loss:6.8757, d loss:0.0141, g loss:4.0444, g loss temp:2.1658, MSE loss:0.0188
Epoch 100/500, Train miss rmse:0.2036, obse rmse:0.1151, porosity:0.0218 G loss:6.2746, d loss:0.0109, g loss:4.0968, g loss temp:2.2110, MSE loss:0.0189
Epoch 101/500, Train miss rmse:0.2002, obse rmse:0.1172, porosity:0.0227 G loss:6.1102, d loss:0.0142, g loss:3.8354, g loss temp:1.9531, MSE loss:0.0188
Epoch 102/500, Train miss rmse:0.2076, obse rmse:0.1105, porosity:0.0105 G loss:4.7780, d loss:0.0149, g loss:3.7287, g loss temp:1.9216, MSE loss:0.0181
Epoch 103/500, Train miss rmse:0.2020, obse rmse:0.1150, porosity:0.0267 G loss:6.7010, d loss:0.0112, g loss:4.0344, g loss temp:2.0604, MSE loss:0.0197
Epoch 104/500, Train miss rmse:0.1936, obse rmse:0.1222, porosity:0.0100 G loss:4.6094, d loss:0.0095, g loss:3.6116, g loss temp:1.4656, MSE loss:0.0215
Epoch 105/500, Train miss rmse:0.2016, obse rmse:0.1136, porosity:0.0063 G loss:4.1523, d loss:0.0088, g loss:3.5196, g loss temp:1.6346, MSE loss:0.0188
Epoch 106/500, Train miss rmse:0.1925, obse rmse:0.1206, porosity:0.0160 G loss:5.3463, d loss:0.0106, g loss:3.7488, g loss temp:1.6108, MSE loss:0.0214
Epoch 107/500, Train miss rmse:0.1834, obse rmse:0.1244, porosity:0.0185 G loss:5.0280, d loss:0.0090, g loss:3.1825, g loss temp:0.9200, MSE loss:0.0226
Epoch 108/500, Train miss rmse:0.1813, obse rmse:0.1249, porosity:0.0121 G loss:4.3705, d loss:0.0115, g loss:3.1624, g loss temp:0.9353, MSE loss:0.0223
Epoch 109/500, Train miss rmse:0.1868, obse rmse:0.1224, porosity:0.0064 G loss:4.1004, d loss:0.0151, g loss:3.4637, g loss temp:1.2957, MSE loss:0.0217
Epoch 110/500, Train miss rmse:0.1959, obse rmse:0.1168, porosity:0.0126 G loss:4.9404, d loss:0.0091, g loss:3.6811, g loss temp:1.6515, MSE loss:0.0203
