Epoch 122/3000, Train miss rmse:0.1846, obse rmse:0.1707, Test miss rmse:0.1910, obse rmse:0.1778
Epoch 123/3000, Train miss rmse:0.1841, obse rmse:0.1705, Test miss rmse:0.1903, obse rmse:0.1773
Epoch 124/3000, Train miss rmse:0.1853, obse rmse:0.1684, Test miss rmse:0.1916, obse rmse:0.1752
Epoch 125/3000, Train miss rmse:0.1837, obse rmse:0.1697, Test miss rmse:0.1902, obse rmse:0.1767
Epoch 126/3000, Train miss rmse:0.1827, obse rmse:0.1700, Test miss rmse:0.1894, obse rmse:0.1771
Epoch 127/3000, Train miss rmse:0.1835, obse rmse:0.1683, Test miss rmse:0.1903, obse rmse:0.1752
Epoch 128/3000, Train miss rmse:0.1820, obse rmse:0.1692, Test miss rmse:0.1886, obse rmse:0.1762
Epoch 129/3000, Train miss rmse:0.1814, obse rmse:0.1698, Test miss rmse:0.1882, obse rmse:0.1771
Epoch 130/3000, Train miss rmse:0.1824, obse rmse:0.1678, Test miss rmse:0.1892, obse rmse:0.1748
Epoch 131/3000, Train miss rmse:0.1823, obse rmse:0.1671, Test miss rmse:0.1893, obse rmse:0.1740
Epoch 132/3000, Train miss rmse:0.1815, obse rmse:0.1673, Test miss rmse:0.1885, obse rmse:0.1743
Epoch 133/3000, Train miss rmse:0.1820, obse rmse:0.1660, Test miss rmse:0.1890, obse rmse:0.1729
Epoch 134/3000, Train miss rmse:0.1816, obse rmse:0.1660, Test miss rmse:0.1887, obse rmse:0.1731
Epoch 135/3000, Train miss rmse:0.1801, obse rmse:0.1668, Test miss rmse:0.1873, obse rmse:0.1741
Epoch 136/3000, Train miss rmse:0.1808, obse rmse:0.1653, Test miss rmse:0.1882, obse rmse:0.1723
Epoch 137/3000, Train miss rmse:0.1801, obse rmse:0.1656, Test miss rmse:0.1875, obse rmse:0.1728
Epoch 138/3000, Train miss rmse:0.1798, obse rmse:0.1652, Test miss rmse:0.1871, obse rmse:0.1722
Epoch 139/3000, Train miss rmse:0.1791, obse rmse:0.1654, Test miss rmse:0.1868, obse rmse:0.1725
Epoch 140/3000, Train miss rmse:0.1792, obse rmse:0.1649, Test miss rmse:0.1866, obse rmse:0.1720
Epoch 141/3000, Train miss rmse:0.1780, obse rmse:0.1659, Test miss rmse:0.1857, obse rmse:0.1732
Epoch 142/3000, Train miss rmse:0.1781, obse rmse:0.1647, Test miss rmse:0.1860, obse rmse:0.1718
Epoch 143/3000, Train miss rmse:0.1782, obse rmse:0.1640, Test miss rmse:0.1861, obse rmse:0.1712
Epoch 144/3000, Train miss rmse:0.1778, obse rmse:0.1636, Test miss rmse:0.1858, obse rmse:0.1710
Epoch 145/3000, Train miss rmse:0.1781, obse rmse:0.1631, Test miss rmse:0.1860, obse rmse:0.1702
Epoch 146/3000, Train miss rmse:0.1782, obse rmse:0.1618, Test miss rmse:0.1864, obse rmse:0.1689
Epoch 147/3000, Train miss rmse:0.1769, obse rmse:0.1631, Test miss rmse:0.1851, obse rmse:0.1704
Epoch 148/3000, Train miss rmse:0.1768, obse rmse:0.1626, Test miss rmse:0.1851, obse rmse:0.1701
Epoch 149/3000, Train miss rmse:0.1767, obse rmse:0.1626, Test miss rmse:0.1849, obse rmse:0.1697
Epoch 150/3000, Train miss rmse:0.1765, obse rmse:0.1619, Test miss rmse:0.1849, obse rmse:0.1693
Epoch 151/3000, Train miss rmse:0.1767, obse rmse:0.1610, Test miss rmse:0.1850, obse rmse:0.1682
Epoch 152/3000, Train miss rmse:0.1753, obse rmse:0.1619, Test miss rmse:0.1838, obse rmse:0.1693
Epoch 153/3000, Train miss rmse:0.1759, obse rmse:0.1607, Test miss rmse:0.1845, obse rmse:0.1681
